Plant Scientific Name stringFilter,Plant Common Name stringFilter,Image imageType,Contaminants Csvfilteror,Accumlation Quantity (if known) csvFilterOr,Accumlation Type (if known) csvFilterOr,Source for Phyto ,Notes ,Search All stringFilter - Hidden
Llex vomitoria,Yaupon Holly,,Petroleum,Tolerant,N/A,"1) Analysis of Phytoscapes Species for BP Retail Sites. Kim Tsao. David Tsao, Ph.D. BP Group Environmental Management Company. 28 March 2003",Shrub. Variety: Nana. USDA Hardiness Zones 7A-9B,
Lolium multiflorum,Ryegrass,https://images.squarespace-cdn.com/content/669bb94c5910e504b512f3a4/66ffc30b-3c60-49f7-8e47-527980071b07/Ryegrass.jpg?content-type=image%2Fjpeg,Cadmium,Accumulator,"Rhizodegradation, Phytovolatilization, Phytoextraction","1) McCutcheon, S.C., & Schnoor, J.L. (Eds.). (2003). Phytoremediation: Transformation and Control of Contaminants. Hoboken, New Jersey: Wiley-Interscience, Inc. http://www.superorg.net/archive/proposal/plant%20species%20phyto.pdf
 2) Phytoremediation of RadioÃ‚Â¬nuclides. Dushenkov et al. 1998, Negri and Hinchman 2000, Huang et al. 1998, et al. 1997, Negri and Hinchman 2000, Dushenkov et al. 1998. http://rydberg.biology.colostate.edu/Phytoremediation/2000/Lawra/BZ580.htm
 3) http://www.flickr.com/photos/plant_diversity/3880473941/(Photo Source)
 4) Salama AK, Osman KA, Gouda NA. Remediation of lead and cadmium-contaminated soils. Int J Phytoremediation. 2016;18(4):364-367. doi:10.1080/15226514.2015.1109597",Rygrass is one of natureÃ¢â‚¬â„¢s greatest phytovolatilazation device. It takes up toxins well and molecularly changes them to become safe particles in the air. Perennial grass shown to uptake nutrients and to significantly enhance degradation of TPH and,
Lolium perenne,Perennial Ryegrass,https://images.squarespace-cdn.com/content/669bb94c5910e504b512f3a4/323d3cad-43fd-4d5a-bbc8-e6f6c568ce85/PerennialRyegrass.jpg?content-type=image%2Fjpeg,"Arsenic, Copper, Lead, Zinc",Accumulator/Tolerant,"Phytostabilization, Phytodegradation, Phytoextraction, Microbial Degradation","1) Oyler, J. Blue Mountain Superfund Remediation Project, Palmerton, PA. Powerpoint presentation. June 10, 2004. ITRC Phytotechnologies conference.
 2) Groom, C.A, A. Halasz, L. Paquet, N. Morris, L. Olivier, C. Dubois and J. Hawari (2002) Accumulation of HMX (Octahydro-1,3,5,7-tetranitro-1,3,5,7-tetrazocine) in Indigenous and Agricultural Plants Grown in HMX- Contaminated Anti-Tank Firing-Range Soil. Environ. Sci. & Technol. 2002, Vol 36, Issue 1 p112-118
 3) http://www.flickr.com/photos/plant_diversity/3932973320/(Photo Source)
 4) (Phyto Textbook) Fu, D., Teng, Y., Shen, Y., Sun, M., Tu, C., Luo, Y., Li, Z., and Christie, P. 2012. Dissipation of polycyclic aromatic hydrocarbons and microbial activity in a field soil planted with perennial ryegrass. Frontiers of Envrionmental Science and Engineering 6 (3) pp. 330-335.
 5) (Phyto Textbook) Wang, K., Huang, H., Zhu, Z., Li, T., He, Z., Yang, X., and Alva, A. 2013. Phytoextraction of Metals and Rhizoremediation of PAHs in Co-Contaminate",Hardiness zone: 3-9,
Lolium perenne - Fiesta 4,Rye Grass,,Total Petroleum Hydrocarbons,,Rhizodegradation,"Mcintosh, Patrick, et al. â€œBreakdown of Low-Level Total Petroleum Hydrocarbons (TPH) in Contaminated Soil Using Grasses and Willows.â€ International Journal of Phytoremediation, vol. 18, no. 7, 2015, pp. 656â€“663., doi:10.1080/15226514.2015.1109598.",,
Lolium perenne L.,Perennial Rye Grass,,Phthalate Esters,Accumulator,Phytoextraction,"(Phyto Textbook) Ma, T. T., Teng, Y., Luo, Y. M., and Christie, P. 2013. Legume-grass intercropping phytoremediation of phthalic acid esters in soil near an electronic waste recycling site: a field study. International Journal of Phytoremediation 15 (2), pp. 154-167.",,
Loropetalum chinense var. rubrum,Chinese Fringe Flower,,Cadmium,,Phytostabilization,"Zeng P, Guo Z, Cao X, Xiao X, Liu Y, Shi L. Phytostabilization potential of ornamental plants grown in soil contaminated with cadmium. Int J Phytoremediation. 2018;20(4):311-320. doi:10.1080/15226514.2017.1381939",,
Lotus corniculatus,Empire Bird's-Foot Trefoil,https://images.squarespace-cdn.com/content/669bb94c5910e504b512f3a4/b4b7718b-c96b-4ceb-a6e3-95f2ab4ba245/EmpireBirdsfootTrefoil.jpg?content-type=image%2Fjpeg,"Cadmium, Polycyclic Aromatic Hydrocarbon (Pah), Zinc",Accumulator,Rhizodegradation,"1) McCutcheon, S.C., & Schnoor, J.L. (Eds.). (2003). Phytoremediation: Transformation and Control of Contaminants. Hoboken, New Jersey: Wiley-Interscience, Inc. http://www.superorg.net/archive/proposal/plant%20species%20phyto.pdf
 2) Azous, A. L., and Horner. R. R (Eds). (2001). Wetlands and Urbanization: Implications for the Future. Bocoa Raton, FL: Lewis Publishers.
 3) http://www.flickr.com/photos/10770266@N04/5415492876/ (Photo Source)","An introduced European annual herb. When mixed with grasses, was shown to reduce TPH and PAHÃ¢â‚¬â„¢s in soils. This plant is generally not recommended for introduction into conÃ‚Â¬structed wet lands of the Puget Sound Region.",
Lupinus albus,White Lupin,https://images.squarespace-cdn.com/content/669bb94c5910e504b512f3a4/af2db3c0-8c78-476e-aca5-7107f63011b4/WhiteLupin.jpg?content-type=image%2Fjpeg,"Arsenic, Nitrogen",N/A,Rhizoaccumulation,"1) Esteban, E, Vazquez, S and Carpena, R. (2003) White Lupin Response to Arsenate. University of Madrid, Spain
 2) http://www.flickr.com/photos/dugspr/527049571/(Photo Source)","A nitrogen fixing legume capable of growth in acidic soils with low nutrient availability. A recent study indicated an ability to take up arsenic, primarily stored in the root structure. A number of lupine varieties are native to NW, including: Lupinus ar",
Lycopersicon esculentum,Tomato,,"Iron, Lead, Manganese",Accumulator,Phytostabilization,"Eid EM, Shaltout KH. Bioaccumulation and translocation of heavy metals by nine native plant species grown at a sewage sludge dump site. Int J Phytoremediation. 2016;18(11):1075-1085. doi:10.1080/15226514.2016.1183578",,
Lythrum salicaria,Purple Loosestrife,,Atrazine,Accumulator,Phytodegradation,"(Phyto Textbook) WAng, Q., Zhang, W., Li, L., and Xiao, B. 2012. Phytoremediation of atrazine by three emergent hydrophytes in a hydroponic system. Water Science and Technology66 (6), pp. 1282-1288.",,
Macfadyena unguis-cati,Yellow Trumpet Vine,,Petroleum,Tolerant,N/A,"1) Analysis of Phytoscapes Species for BP Retail Sites. Kim Tsao. David Tsao, Ph.D. BP Group Environmental Management Company. 28 March 2003","Vine. USDA Cold Hardiness Zones, 9 - 11",
Maclura pomifera,Osage Orange,https://images.squarespace-cdn.com/content/669bb94c5910e504b512f3a4/c1ab6f18-55ab-495c-8a03-452aadcbbb54/OsageOrange.jpg?content-type=image%2Fjpeg,Polychlorinated Biphenyl (Pcb),N/A,Rhizodegradation,"1) McCutcheon, S.C., & Schnoor, J.L. (Eds.). (2003). Phytoremediation: Transformation and Control of Contaminants. Hoboken, New Jersey: Wiley-Interscience, Inc. http://www.superorg.net/archive/proposal/plant%20species%20phyto.pdf
 2) http://www.flickr.com/photos/windsordi/4083850783/(Photo Source)","A deciduous tree that can withstand heat, cold, wind, drought, and poor soil. Roots have been shown to stimulate PCB-degrading bacteria in the soil. USDA hardiness zones: 5 through 9A",
Malachium aquaticum,Water Chickweed,,Cadmium,Accumulator,Phytoextraction,"He J, Lin L, Ma Q, et al. Uniconazole (S-3307) strengthens the growth and cadmium accumulation of accumulator plant Malachium aquaticum. Int J Phytoremediation. 2017;19(4):348-352. doi:10.1080/15226514.2016.1225287",,
Medicago sativa,Alfalfa,https://images.squarespace-cdn.com/content/669bb94c5910e504b512f3a4/56203f4a-85f4-43a0-9d26-b0e3354b8511/Alfalfa.jpg?content-type=image%2Fjpeg,Zinc,"Accumulator, Bioaccumulator","Phytodegradation, Phytoextraction, Phytostabilization","1) United States, E. P. (2005). Road Map to Understanding Innovative Technology Options for BrownfieldÃ¢â‚¬â„¢s Investigation and Cleanup. (Fourth ed.). Washington, DC: U.S. Environmental Protection Agency, Office of Solid Waste and Emergency ReÃ‚Â¬sponse, Office of Superfund Remediation and Technology Innovation.(Source for PAH)
 2)http://www.flickr.com/photos/daryl_mitchell/2646191862/(Photo Source)
 3) Salehi-Lisar SY, Deljoo S, Harzandi AM. Fluorene and Phenanthrene Uptake and Accumulation by Wheat, Alfalfa and Sunflower from the Contaminated Soil. Int J Phytoremediation. 2015;17(12):1145-1152. doi:10.1080/15226514.2015.1045123
 4) Zhu S, Ma X, Guo R, et al. A field study on heavy metals phytoattenuation potential of monocropping and intercropping of maize and/or legumes in weakly alkaline soils. Int J Phytoremediation. 2016;18(10):1014-1021. doi:10.1080/15226514.2016.1183570
 5) Teng Y, Sun X, Zhu L, Christie P, Luo Y. Polychlorinated biphenyls in alfalfa: Accumulation, sorption and spec","Excellent bioaccumulator because of extremely long roots. As long as 50 feet. Groundcover, Perennial. Hardiness zones 3-11",
Megathyrsus maximus cvs. Aruana & Tanzania,Guinea Grass,,Cadmium,"Accumulator, Tolerant",Phytoextraction,"1) Nardis BO, Silva EB, Grazziotti PH, Alleoni LRF, Melo LCA, Farnezi MMM. Availability and zinc accumulation in forage grasses grown in contaminated soil. Int J Phytoremediation. 2018;20(3):205-213. doi:10.1080/15226514.2017.1365347
 2) Silva EB, Fonseca FG, Alleoni LR, Nascimento SS, Grazziotti PH, Nardis BO. Availability and toxicity of cadmium to forage grasses grown in contaminated soil. Int J Phytoremediation. 2016;18(9):847-852. doi:10.1080/15226514.2016.1146225",,
Melastoma malabathricum L.,Blue Tongue,,"Lead, Arsenic","Accumulator, Precipitator","Phytoaccumulation, Phytostabilization, Phytoextraction","1) Toshihiro Watanabe, Mitsuru Osaki, Teruhiko Yoshihara and Toshiaki Tadano (April 1998). ""Distribution and chemical speciation of aluminum in the Al accumulator plant, Melastoma malabathricum L."". Plant and Soil 201 (2): 165Ã¢â‚¬â€œ173. doi:10.1023/A:1004341415878. http://www.springerlink.com/content/t7080538256p0303/.
 2) (Phyto Textbook) Selamat, S. N., Abdullah, S. R. S., and Idris, M. 2013. Phytoremediation of lead (Pb) and Arsenic (As) by Melastoma malabathricum L. from Contaminated Soil in Separate Exposure. International Journal of Phytoremediation 16, pp. 694-703.","Also called Native Lassiandra. Aluminum concentrations in young leaves, mature leaves, old leaves, and roots were found to be 8.0, 9.2, 14.4, and 10.1 mg g1, respectively.",
Melia azedarach,Chinaberry Tree,,"Copper, Lead, Cadmium",Accumulator/Tolerant,,"Kang W, Bao J, Zheng J, Xu F, Wang L. Phytoremediation of heavy metal contaminated soil potential by woody plants on Tonglushan ancient copper spoil heap in China. Int J Phytoremediation. 2018;20(1):1-7. doi:10.1080/15226514.2014.950412",,
Melilotus officinalis,Yellow Sweet Clover,https://images.squarespace-cdn.com/content/669bb94c5910e504b512f3a4/16c3918a-8899-4fc0-a066-5b49636aed8e/YellowSweetClover.jpg?content-type=image%2Fjpeg,Hydrocarbons,N/A,Rhizodegradation,"1) Christensen-Kirsh, K.M (1996). Phytoremediation and wastewater effluent disposal: Guidelines for landscape planners and designers. MasterÃ¢â‚¬â„¢s Project, Department of Landscape. University of Oregon. 
 2) April 2003, Jeremiah Knuth, Department of Civil Engineering, Colorado State University.http://rydberg.biology.colostate.edu/Phytoremediation/2003/Knuth/home.htm
 3) McCutcheon, S.C., & Schnoor, J.L. (Eds.). (2003). Phytoremediation: Transformation and Control of Contaminants. Hoboken, New Jersey: Wiley-Interscience, Inc. http://www.superorg.net/archive/proposal/plant%20species%20phyto.pdf
 4) http://tinyurl.com/7wyga55 (Photo Source)
 5) USDA NRCS Plant Materials Center, Manhattan, Kansas & Kansas State University, Forestry Researchhttp://plants.usda.gov/factsheet/pdf/fs_sani.pdf (Source for Nickel, PAH, and Silver)","Growth Rate: Rapid, mature height of 5Ã¢â‚¬â„¢. Duration, Growth Habit: Annual, Biennial, Perennial, Herb/Forb. Drought Tolerance: High. Moisture Use: Medium. Salinity Tolerance: High. Shade Tolerance: Intolerant. Habitat: Well adapted to clay and silt mo",
Melilotus sulcata Desf.,,,"Lead, Zinc, Copper, Cadmium",Accumulator,"Phytoextraction, Phytostabilization","Midhat L, Ouazzani N, Esshaimi M, Ouhammou A, Mandi L. Assessment of heavy metals accumulation by spontaneous vegetation: Screening for new accumulator plant species grown in Kettara mine-Marrakech, Southern Morocco. Int J Phytoremediation. 2017;19(2):191-198. doi:10.1080/15226514.2016.1207604",,
Millettia reticulata,Evergreen Wisteria,,Petroleum,Tolerant,N/A,"1) Analysis of Phytoscapes Species for BP Retail Sites. Kim Tsao. David Tsao, Ph.D. BP Group Environmental Management Company. 28 March 2003",Vine. USDA Hardiness Zone 7 - 10,
Miscanthus giganteus,Miscanthus,,"Copper, Lead, M, Cadmium, Zinc",Tolerant/Accumulator,"Phytoextraction, Phytostabilization","1) (Phyto Textbook) Techer, D., Martinez-Chois, C., Laval-Gilly, P., Henry, S>, Bennasroune, A., D'Iannocenzo, M., and Falla, J. 2012. Assessment of MiscanthusÃ— giganteus for rhizoremediation of long term PAH contaminated soils. Applied Soil Ecology 62, 99. 42-49.
 2) (Phyto Textbook) Kocon, A., and Matyka, M. 2012. Phytoextractive potential of Miscanthus giganteus and Sida hermaphrodita growing under moderate pollution of soil with Zn and Pb. Journal of Food, Agriculture and Environment 10 (2), pp. 1253-1256.
 3) Zhang J, Yang S, Huang Y, Zhou S. The Tolerance and Accumulation of Miscanthus Sacchariflorus (maxim.) Benth., an Energy Plant Species, to Cadmium. Int J Phytoremediation. 2015;17(1-6):538-545. doi:10.1080/15226514.2014.922925
 4) Bang J, Kamala-Kannan S, Lee KJ, et al. Phytoremediation of Heavy Metals in Contaminated Water and Soil Using Miscanthus sp. Goedae-Uksae 1. Int J Phytoremediation. 2015;17(1-6):515-520. doi:10.1080/15226514.2013.862209",,
Monochoria hastata,Oval-Leafed Pondweed,,"Magnesium, Iron, Contaminants Of Concern (Coc)",Accumulator,Phytostabilization,"Hazra M, Avishek K, Pathak G. Phytoremedial Potential of Typha latifolia, Eichornia crassipes and Monochoria hastata found in Contaminated Water Bodies Across Ranchi City (India). International Journal of Phytoremediation. 2015 ;17(9):835-840. DOI: 10.1080/15226514.2014.964847.",,
Moraea iridioides (D.iridioides),African Iris,,Petroleum,Tolerant,N/A,"1) Analysis of Phytoscapes Species for BP Retail Sites. Kim Tsao. David Tsao, Ph.D. BP Group Environmental Management Company. 28 March 2003
 2) http://www.floridata.com/ref/d/diet_iri.cfm","This shrub is also often called Fortnight Lily in Florida. Evergreen perennials. They have leathery sword shaped leaves up to 2 ft in length but only 0.75 in wide. Tolerant of poor soils, but not tolerant of salty conditions.
 Light: dappled shade to near",
Morus alba,Mulberry,,"Histidine, Nickel","Accumulator, Hyperaccumulator",,"1) Huang RZ, Jiang YB, Jia CH, Jiang SM, Yan XP. Subcellular distribution and chemical forms of cadmium in Morus alba L. Int J Phytoremediation. 2018;20(5):448-453. doi:10.1080/15226514.2017.1365344
 2) Ozen SA, Yaman M. Examination of correlation between histidine and nickel absorption by Morus L., Robinia pseudoacacia L. and Populus nigra L. using HPLC-MS and ICP-MS. Int J Phytoremediation. 2016;18(8):794-800. doi:10.1080/15226514.2015.1131243",,
"Morus alba ""Platanifolia""",Fruitless Mulberry,,"Anthracene, Arsenic",N/A,N/A,"1) Basel Al-Yousfi A. et al. (2000). ""Phytoremediation-The Natural Pump-and-Treat and Hydraulic Barrier System."" Practice Periodicals of Hazardous, Toxic, and Radioactive Waste Management, April 2000, p 73-77.",USDA Zone 4-8,
Morus rubra,Red Mulberry Tree,https://images.squarespace-cdn.com/content/669bb94c5910e504b512f3a4/1ca62282-5061-46cd-a15f-fdda63c5dd70/RedMulberryTree.jpg?content-type=image%2Fjpeg,"Anthracene, Arsenic, Polychlorinated Biphenyl (Pcb), Polycyclic Aromatic Hydrocarbon (Pah)",N/A,N/A,"1) McCutcheon, S.C., & Schnoor, J.L. (Eds.). (2003). Phytoremediation: Transformation and Control of Contaminants. Hoboken, New Jersey: Wiley-Interscience, Inc. http://www.superorg.net/archive/proposal/plant%20species%20phyto.pdf
 2) http://www.flickr.com/photos/maryburns/4523852436/(Photo Source)","The mulberry is one of a few trees producing phenolic comÃ‚Â¬pounds stimulating PCB-degrading bacteria, and thus enhance the degradation of this pollutant Mulberry has also been shown in the lab to degrade PAHÃ¢â‚¬â„¢s. Hardy from zones 5-9.",
Myriophyllum spicatum,Eurasian Watermilfoil,,"Arsenic, Cadmium, Copper, Nickel, Lead, Zinc",Hyperaccumulator,,"Lu G, Wang B, Zhang C, et al. Heavy metals contamination and accumulation in submerged macrophytes in an urban river in China. Int J Phytoremediation. 2018;20(8):839-846. doi:10.1080/15226514.2018.1438354",,
Myriophyllum verticillatum,Whorl-Leaf Watermilfoil,,"Iron, Chromium, Zinc, Nickel, Copper",Accumulator,,"Sapci Z, Ustun EB. Heavy Metal Uptakes by Myriophyllum verticillatum from Two Environmental Matrices: The Water and the Sediment. Int J Phytoremediation. 2015;17(1-6):290-297. doi:10.1080/15226514.2014.898022",,
Nandina domestica,Heavenly Bamboo,,Petroleum,Tolerant,N/A,"1) Analysis of Phytoscapes Species for BP Retail Sites. Kim Tsao. David Tsao, Ph.D. BP Group Environmental Management Company. 28 March 2003",Shrub. Variety: Jaytee Harbor Belle. hardiness zones: 6 - 11,
Native Cottonwood,Native Cottonwood,,Trichloroethylene (Tce) Â And By-Products,N/A,N/A,"1) Jordahl, J., R. Tossell, M. Barackman and G. Vogt (2003) Phytoremediation for Hydraulic Control and Remediation: Beale 
 2) Air Force Base and Koppel Stockton Terminal. Abstracts from US EPA International Applied Phytotechnologies Workshop March 3-5, 2003 Chicago, IL",Hydraulic control. USDA hardiness zones 2 through 9.,
Native Willow,Native Willow,,"Benzene, Lead, Mercury, Nickel, Polychlorinated Biphenyl (Pcb), Silver, Toluene",N/A,"Rhizodegradation, Phytovolatilization",1) L. A. Newman et al. Remediation of trichloroethylene in an artificial aquifer with trees: A controlled field study Environ. Sci. Technol. 33:2257-2285 (1999),Hydraulic control,
Nepeta cataria,Catnip,,"Chromium, Nickel, Iron, Manganese, Cobalt, Copper, Zinc",Accumulator,,"Nawab J, Khan S, Shah MT, Khan K, Huang Q, Ali R. Quantification of Heavy Metals in Mining Affected Soil and Their Bioaccumulation in Native Plant Species. Int J Phytoremediation. 2015;17(9):801-813. doi:10.1080/15226514.2014.981246",,
Nephrolepis exaltata,Boston Fern,https://images.squarespace-cdn.com/content/669bb94c5910e504b512f3a4/8b23548a-7ddb-4a67-9a12-47568d531eec/BostonFern.jpg?content-type=image%2Fjpeg,"Benzene, Formaldehyde, Toluene, Trichloroethylene (Tce) Â And By-Products, Xylene",Hyperaccumulator,Phytoextraction,"1) B.C Wolverton and John D. Wolverton. Wolverton Environmental Services. http://www.wolvertonenvironmental.com/MsAcad-93.pdf
 2) http://www.flickr.com/photos/cayobo/5995800/(Photo Source)","Plant Characteristics: Humidity Needed, Partial Sun, Moderate Water. Hardiness zone 8b-11.",
Nephrolepis obliterata,Kimberly Queen,,"Alcohol, Benzene, Formaldehyde, Toluene, Xylene","Accumulator, Hyperaccumulator",N/A,"1) Plants ""Clean"" Air Inside Our Homes (kilde NASA) 
 2) Wolverton, B.C. (1996) How to Grow Fresh Air. New York: Penguin Books.
 3) B. C. Wolverton and J.D. Wolverton. ""Plants and Soil Microorganisms: Removal of Formaldehyde, Xylene, Ammonia From the Indoor Environment"". Retrieved 2011-08-27.","This plant can grow in low light, requires lots of moisture and proper drainage. Hardiness zones 9a to 11",
Nerium oleander,Oleander,,Petroleum,Tolerant,N/A,"1) Analysis of Phytoscapes Species for BP Retail Sites. Kim Tsao. David Tsao, Ph.D. BP Group Environmental Management Company. 28 March 2003",Shrub. Officially hardy to Zone 6b,
Noccaea caerulescens,Thlaspi Alpestre,,"Cadmium, Zinc","Accumulator, Hyperaccumulator",Phytoextraction,"1) Broadhurst CL, Chaney RL, Davis AP, et al. Growth and Cadmium Phytoextraction by Swiss Chard, Maize, Rice, Noccaea caerulescens, and Alyssum murale in Ph Adjusted Biosolids Amended Soils. Int J Phytoremediation. 2015;17(1-6):25-39. doi:10.1080/15226514.2013.828017
 2) Simmons RW, Chaney RL, Angle JS, et al. Towards practical cadmium phytoextraction with Noccaea caerulescens. Int J Phytoremediation. 2015;17(1-6):191-199. doi:10.1080/15226514.2013.876961
 3) TlustoÅ¡ P, B?endovÃ¡ K, SzÃ¡kovÃ¡ J, NajmanovÃ¡ J, KoubovÃ¡ K. The long-term variation of Cd and Zn hyperaccumulation by Noccaea spp and Arabidopsis halleri plants in both pot and field conditions. Int J Phytoremediation. 2016;18(2):110-115. doi:10.1080/15226514.2014.981243
 4) (Phyto Textbook) Broadhurst, C.l., Chaney, R. L., Davis, A. P., Cox, A., Kumar, K., Reeves, R. D., and Green, C. E. 2013 Growth and cadmium phytoextraction by Swiss chard, maize, rice, Noccaea caerulescens and Alyssum murale in pH adjusted biosolids amended soil",,
Noccaea praecox,Early Penny Cress,,"Cadmium, Lead, Zinc",Hyperaccumulator,Phytoextraction,"TlustoÅ¡ P, B?endovÃ¡ K, SzÃ¡kovÃ¡ J, NajmanovÃ¡ J, KoubovÃ¡ K. The long-term variation of Cd and Zn hyperaccumulation by Noccaea spp and Arabidopsis halleri plants in both pot and field conditions. Int J Phytoremediation. 2016;18(2):110-115. doi:10.1080/15226514.2014.981243",,
Nymphaea odorata,Water Lily,https://images.squarespace-cdn.com/content/669bb94c5910e504b512f3a4/686c6b65-28d0-48ba-9365-26ef5eb088a9/WaterLily.jpg?content-type=image%2Fjpeg,"Chromium, Copper, Manganese",Accumulator of Copper and Manganese.,Rhizofiltration,"1) http://ourgardengang.tripod.com/whsuckitup.htm
 2)http://www.flickr.com/photos/10233859@N00/4697365322/(Photo Source)",Accumulator of Copper and Manganese. Hardiness Zones: 3-11,
Oenothera glazioviana,Evening Primrose,,Copper,Tolerant,Phytostabilization,"(Phyto Textbook) Guo, P., Wang, T., Liu, Y., Xia, Y., Wang, E., Shen, Z., and Chen, Y., 2013. Phytostabilization potential of evening primrose (Oenothera glazioviana) for copper-contaminated sites. Environmental Science and Pollution Research 21 (1), pp. 1-10.","O. glazioviana, a copper excluder",
Olea Europaea,Olive,,"Copper, Zinc, Lead",Accumulator,Phytostabilization - Excluder Plant,"Nirola R, Megharaj M, Aryal R, Naidu R. Screening of metal uptake by plant colonizers growing on abandoned copper mine in Kapunda, South Australia. Int J Phytoremediation. 2016;18(4):399-405. doi:10.1080/15226514.2015.1109599",,
Opuntia ficus,Pirckly Pear,,"Lead, Total Petroleum Hydrocarbons",Accumulator,Phytoextraction,"Escobar-Alvarado LF, Vaca-Mier M, LÃ³pez-Callejas R, Rojas-Valencia MN. Efficiency of Opuntia ficus in the phytoremediation of a soil contaminated with used motor oil and lead, compared to that of Lolium perenne and Aloe barbadensis. Int J Phytoremediation. 2018;20(2):184-189. doi:10.1080/15226514.2017.1365332",,
Oryza sativa L,Rice,,"Cadmium, Heavy Metals",Hyperaccumulator,Phytoextraction,"1) (Phyto Textbook) Mandal, A., Purakayastha, T., Patra, A., and Sanyal, S. 2012. Phytoremediation of arsenic contaminated soil by Pteris vittata L. II. Effect on arsenic uptake and rice yield. International Journal of Phytoremediation 14 (6) pp. 621-628.
 2) Zhou L, Wu L, Li Z, et al. Influence of Rapeseed Cake on Heavy Metal Uptake by a Subsequent Rice Crop After Phytoextraction Using Sedum plumbizincicola. Int J Phytoremediation. 2015;17(1-6):76-84. doi:10.1080/15226514.2013.837026",,
Osmanthus fragrans,Sweet Osmanthus,,Cadmium,Accumulator/Tolerant,Phytostabilization,"1) Kang W, Bao J, Zheng J, Xu F, Wang L. Phytoremediation of heavy metal contaminated soil potential by woody plants on Tonglushan ancient copper spoil heap in China. Int J Phytoremediation. 2018;20(1):1-7. doi:10.1080/15226514.2014.950412
 2) Zeng P, Guo Z, Cao X, Xiao X, Liu Y, Shi L. Phytostabilization potential of ornamental plants grown in soil contaminated with cadmium. Int J Phytoremediation. 2018;20(4):311-320. doi:10.1080/15226514.2017.1381939",,
Panicum repens,Torpedo Grass,,"Cadmium, Lead",Tolerant,Phytoaccumulation,"Gao G, Zeng X, Li Z, Chen A, Yang Z. Variations in several morphological characteristics and Cd/Pb accumulation capacities among different ecotypes of torpedograss responding to Cd-Pb stresses. Int J Phytoremediation. 2017;19(9):844-861. doi:10.1080/15226514.2017.1284759",,
Panicum virgatum,Switchgrass,https://images.squarespace-cdn.com/content/669bb94c5910e504b512f3a4/537ccc18-7e8a-438f-a071-bda04a80a3dd/Switchgrass.jpg?content-type=image%2Fjpeg,"Lead, Cadmium",Hyperaccumulator,"Degradation, Rhizodegradation, Phytoextraction","1) April 2003, Jeremiah Knuth, Department of Civil Engineering, Colorado State University.http://rydberg.biology.colostate.edu/Phytoremediation/2003/Knuth/home.htm
 2) McCutcheon, S.C., & Schnoor, J.L. (Eds.). (2003). Phytoremediation: Transformation and Control of Contaminants. Hoboken, New Jersey: Wiley-Interscience, Inc. http://www.superorg.net/archive/proposal/plant%20species%20phyto.pdf
 3) http://www.flickr.com/photos/ag-energy-extension/4276187663/(Photo Source)
 4) USDA NRCS Plant Materials Center, Manhattan, Kansas & Kansas State University, Forestry Researchhttp://plants.usda.gov/factsheet/pdf/fs_sani.pdf (Source for Nickel, PAH, and Silver)
 5) (Phyto Textbook) Albright III, V., and Coats, J. 2014. Disposition of atrazine metabolites following uptake and degradation of atrazine in Switchgrass. International Journal of Phytoremediation 16 (1), pp. 62-72, DOI, 10.1080/15226514.2012.759528.
 6) Mcintosh, Patrick, et al. â€œBreakdown of Low-Level Total Petroleum Hydrocarbons (TPH)","Full sun, hardy to Zone 5. Grows 60 inches tall.",
Panicum virgatum,Blue Switchgrass,https://images.squarespace-cdn.com/content/669bb94c5910e504b512f3a4/de9af33b-8b7f-46c0-804e-9921f354e9d4/BlueSwitchgrass.jpg?content-type=image%2Fjpeg,Atrazine,Accumulator,N/A,"1) http://www.big-grass.com/Panicum%20virgatum.html
 2) http://www.flickr.com/photos/plant_diversity/3912256825/ (Photo Source)","Hardy, deep rooted grass. Can grow up to 9 ft. Hardness zone 4-9.",
Parkinsonia aculeata,Jerusalem Thorn,,Salinity,Accumulator,Phytoextraction,"Devi S, Nandwal AS, Angrish R, Arya SS, Kumar N, Sharma SK. Phytoremediation potential of some halophytic species for soil salinity. Int J Phytoremediation. 2016;18(7):693-696. doi:10.1080/15226514.2015.1131229",,
Pascopyrum smithii,Western Wheatgrass,https://images.squarespace-cdn.com/content/669bb94c5910e504b512f3a4/5d8962ef-4ce0-4a4d-bab8-fd06b066aca3/WesternWheatgrass.jpg?content-type=image%2Fjpeg,"Atrazine, Hydrocarbons, Lead, Polycyclic Aromatic Hydrocarbon (Pah), Zinc",N/A,Rhizodegradation,"1) USDA NRCS Plant Materials Center, Manhattan, Kansas & Kansas State University, Forestry Researchhttp://plants.usda.gov/factsheet/pdf/fs_sani.pdf - Nickel, pah, silver
 2) April 2003, Jeremiah Knuth, Department of Civil Engineering, Colorado State University.http://rydberg.biology.colostate.edu/Phytoremediation/2003/Knuth/home.htm
 3) McCutcheon, S.C., & Schnoor, J.L. (Eds.). (2003). Phytoremediation: Transformation and Control of Contaminants. Hoboken, New Jersey: Wiley-Interscience, Inc. http://www.superorg.net/archive/proposal/plant%20species%20phyto.pdf
 4) http://www.flickr.com/photos/tonyfrates/5895328848/ (Photo Source)","Growth Rate: Rapid, mature height of 2Ã¢â‚¬â„¢. Duration, Growth Habit: Perennial, Graminoid. Drought Tolerance: High. Moisture Use: Medium. Salinity Tolerance: High. Shade Tolerance: Intolerant. Habitat: Capable of growing in a wide variety of soils. Per",
